time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2025-03-29 20:46:22.127 UTC, ,125,3165765,1312,19800,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1631,730824089600,58,58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1631, ,1743280581578, , , , ,3145728,1604, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,12390400,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-03-29 20:47:22.133 UTC, ,125,3165765,1312,19800,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1631,730824794112,58,58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1631, ,1743280581578, , , , ,3145728,1604, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,12390400,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-03-29 20:48:22.138 UTC, ,125,3165765,1312,19800,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1631,730821484544,58,58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1631, ,1743280581578, , , , ,3145728,1604, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,12390400,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-03-29 20:49:22.146 UTC, ,125,3165765,1312,19800,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1631,730818449408,58,58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1631, ,1743280581578, , , , ,3145728,1604, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,12390400,10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-03-29 20:50:22.152 UTC, ,125,3165765,1312,19800,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1631,730806644736,58,58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1631, ,1743280581578, , , , ,3145728,1604, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,12390400,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-03-29 20:51:22.158 UTC, ,125,3165765,1312,19800,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1631,730810408960,58,58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1631, ,1743280581578, , , , ,3145728,1604, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,12390400,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-03-29 20:52:22.163 UTC, ,125,3165765,1312,19800,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1631,730809188352,58,58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1631, ,1743280581578, , , , ,3145728,1604, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,12390400,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-03-29 20:53:22.168 UTC, ,125,3165765,1312,19800,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1631,730809135104,58,58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1631, ,1743280581578, , , , ,3145728,1604, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,12390400,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-03-29 20:54:22.176 UTC, ,125,3165765,1312,19800,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1631,730809118720,58,58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1631, ,1743280581578, , , , ,3145728,1604, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,12390400,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-03-29 20:55:22.181 UTC, ,125,3165765,1312,19800,112, ,4, , , , , , , , , , , ,4,4, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1631,730808631296,58,58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1631, ,1743280581578, , , , ,3145728,1604, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,12390400,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
